Report Name:,Custom Statement Tool

Start Date:,="20250101"
End Date:,="20250107"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-11-12,2025-11-18,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-11-12,2025-11-18,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-11-12,2025-11-18,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-11-12,2025-11-18,Account Level Statements,APP,9. Over a minute,20,78%,91,134,168,
2025-11-12,2025-11-18,Account Level Statements,Optima,9. Over a minute,23,0%,98,98,98,
2025-11-12,2025-11-18, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251119"
End Date:,="20251125"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-11-19,2025-11-25,Account Level Statements,APP,1. less than 5 secs,496,9%,4,5,5,
2025-11-19,2025-11-25,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-11-19,2025-11-25,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-11-19,2025-11-25,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-11-19,2025-11-25,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-11-19,2025-11-25,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-11-19,2025-11-25,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-11-19,2025-11-25,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-11-19,2025-11-25,Account Level Statements,APP,9. Over a minute,12,78%,91,134,168,
2025-11-19,2025-11-25,Account Level Statements,Optima,9. Over a minute,25,0%,98,98,98,
2025-11-19,2025-11-25, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251126"
End Date:,="20251202"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-11-26,2025-12-02,Account Level Statements,APP,1. less than 5 secs,598,9%,4,5,5,
2025-11-26,2025-12-02,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-11-26,2025-12-02,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-11-26,2025-12-02,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-11-26,2025-12-02,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-11-26,2025-12-02,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-11-26,2025-12-02,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-11-26,2025-12-02,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-11-26,2025-12-02,Account Level Statements,APP,9. Over a minute,26,78%,91,134,168,
2025-11-26,2025-12-02,Account Level Statements,Optima,9. Over a minute,26,0%,98,98,98,
2025-11-26,2025-12-02, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251203"
End Date:,="20251209"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-12-03,2025-12-09,Account Level Statements,APP,1. less than 5 secs,406,9%,4,5,5,
2025-12-03,2025-12-09,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-12-03,2025-12-09,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-12-03,2025-12-09,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-12-03,2025-12-09,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-12-03,2025-12-09,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-12-03,2025-12-09,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-12-03,2025-12-09,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-12-03,2025-12-09,Account Level Statements,APP,9. Over a minute,26,78%,91,134,168,
2025-12-03,2025-12-09,Account Level Statements,Optima,9. Over a minute,16,0%,98,98,98,
2025-12-03,2025-12-09, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251210"
End Date:,="20251216"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-12-10,2025-12-16,Account Level Statements,APP,1. less than 5 secs,544,9%,4,5,5,
2025-12-10,2025-12-16,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-12-10,2025-12-16,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-12-10,2025-12-16,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-12-10,2025-12-16,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-12-10,2025-12-16,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-12-10,2025-12-16,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-12-10,2025-12-16,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-12-10,2025-12-16,Account Level Statements,APP,9. Over a minute,21,78%,91,134,168,
2025-12-10,2025-12-16,Account Level Statements,Optima,9. Over a minute,29,0%,98,98,98,
2025-12-10,2025-12-16, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251217"
End Date:,="20251223"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-12-17,2025-12-23,Account Level Statements,APP,1. less than 5 secs,464,9%,4,5,5,
2025-12-17,2025-12-23,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-12-17,2025-12-23,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-12-17,2025-12-23,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-12-17,2025-12-23,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-12-17,2025-12-23,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-12-17,2025-12-23,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-12-17,2025-12-23,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-12-17,2025-12-23,Account Level Statements,APP,9. Over a minute,28,78%,91,134,168,
2025-12-17,2025-12-23,Account Level Statements,Optima,9. Over a minute,19,0%,98,98,98,
2025-12-17,2025-12-23, , ,Total Requests:,353,100%,,,,


Report Name:,Custom Statement Tool

Start Date:,="20251224"
End Date:,="20251230"
Statement Type:,"Account"


Star Date,End Date,Statement Type,Product Type,Duration,No_of_Requests,Percentage,Avg_LeadTime_In_Seconds,P90,P95,
2025-12-24,2025-12-30,Account Level Statements,APP,1. less than 5 secs,461,9%,4,5,5,
2025-12-24,2025-12-30,Account Level Statements,APP,2. less than 10 secs,21,5%,6,7,7,
2025-12-24,2025-12-30,Account Level Statements,APP,3. less than 15 secs,2,0%,11,12,12,
2025-12-24,2025-12-30,Account Level Statements,,4. less than 20 secs,0,0%,0,,,
2025-12-24,2025-12-30,Account Level Statements,,5. less than 25 secs,0,0%,0,,,
2025-12-24,2025-12-30,Account Level Statements,APP,6. less than 30 secs,4,1%,28,30,30,
2025-12-24,2025-12-30,Account Level Statements,APP,7. less than 45 secs,15,4%,39,42,44,
2025-12-24,2025-12-30,Account Level Statements,APP,8. less than 1 min,1,0%,52,52,52,
2025-12-24,2025-12-30,Account Level Statements,APP,9. Over a minute,26,78%,91,134,168,
2025-12-24,2025-12-30,Account Level Statements,Optima,9. Over a minute,16,0%,98,98,98,
2025-12-24,2025-12-30, , ,Total Requests:,353,100%,,,,


